Removed Pin From Net: NetName=DO1 Pin=C1-1
Removed Pin From Net: NetName=NetC1_2 Pin=C1-2
Removed Pin From Net: NetName=DO2 Pin=C8-1
Removed Pin From Net: NetName=NetC8_2 Pin=C8-2
Removed Pin From Net: NetName=NetC11_1 Pin=C11-1
Removed Pin From Net: NetName=NetC17_1 Pin=C17-1
Removed Pin From Net: NetName=GND Pin=C21-1
Removed Pin From Net: NetName=VCC5V Pin=C21-2
Removed Pin From Net: NetName=B Pin=C25-1
Removed Pin From Net: NetName=GND Pin=C25-2
Removed Pin From Net: NetName=GND Pin=C26-1
Removed Pin From Net: NetName=A Pin=C26-2
Removed Pin From Net: NetName=NetC11_1 Pin=D4-1
Removed Pin From Net: NetName=NetC17_1 Pin=D7-1
Removed Pin From Net: NetName=B Pin=D9-1
Removed Pin From Net: NetName=A Pin=D9-2
Removed Pin From Net: NetName=GND Pin=D9-3
Removed Pin From Net: NetName=NetC11_1 Pin=P7-1
Removed Pin From Net: NetName=24V Pin=P7-2
Removed Pin From Net: NetName=NetC17_1 Pin=P10-1
Removed Pin From Net: NetName=24V Pin=P10-2
Removed Pin From Net: NetName=DO1 Pin=R2-1
Removed Pin From Net: NetName=NetC1_2 Pin=R2-2
Removed Pin From Net: NetName=DO2 Pin=R12-1
Removed Pin From Net: NetName=NetC8_2 Pin=R12-2
Removed Pin From Net: NetName=24V Pin=R17-1
Removed Pin From Net: NetName=NetC11_1 Pin=R18-1
Removed Pin From Net: NetName=24V Pin=R28-1
Removed Pin From Net: NetName=NetC17_1 Pin=R31-1
Removed Pin From Net: NetName=NetR43_1 Pin=R43-1
Removed Pin From Net: NetName=3.3V Pin=R43-2
Removed Pin From Net: NetName=GND Pin=R44-1
Removed Pin From Net: NetName=B Pin=R44-2
Removed Pin From Net: NetName=A Pin=R46-1
Removed Pin From Net: NetName=B Pin=R46-2
Removed Pin From Net: NetName=VCC5V Pin=R48-1
Removed Pin From Net: NetName=A Pin=R48-2
Removed Pin From Net: NetName=GND Pin=R49-1
Removed Pin From Net: NetName=NetR49_2 Pin=R49-2
Removed Pin From Net: NetName=NetC11_1 Pin=U3-2
Removed Pin From Net: NetName=NetC17_1 Pin=U6-2
Removed Pin From Net: NetName=485RX Pin=U8-1
Removed Pin From Net: NetName=NetR49_2 Pin=U8-2
Removed Pin From Net: NetName=NetR49_2 Pin=U8-3
Removed Pin From Net: NetName=485TX Pin=U8-4
Removed Pin From Net: NetName=A Pin=U8-6
Removed Pin From Net: NetName=B Pin=U8-7
Removed Pin From Net: NetName=VCC5V Pin=U8-8
Removed Pin From Net: NetName=NetR43_1 Pin=U9-1
Removed Pin From Net: NetName=485DE Pin=U9-2
Removed Pin From Net: NetName=NetR49_2 Pin=U9-3
Removed Pin From Net: NetName=3.3V Pin=U9-4
Removed Member From Class: ClassName=电磁阀V3.0 Member=C41
Removed Member From Class: ClassName=电磁阀V3.0 Member=C42
Removed Member From Class: ClassName=电磁阀V3.0 Member=C43
Change Component Footprint: Designator=P7 Old Footprint=2Pin-2.54A New Footprint=3PIN-2.54
Change Component Footprint: Designator=D9 Old Footprint=SOT-23-3 New Footprint=DO-214AC
Change Component Comment : Designator=R44 Old Comment=4.7KΩ (4701) ±1% New Comment=1KΩ (1001) ±1%
Change Component Comment : Designator=R46 Old Comment=120Ω (1200) ±1% New Comment=4.7KΩ (4701) ±1%
Change Component Comment : Designator=P7 Old Comment=Harder_2 New Comment=harder_3
Change Component Comment : Designator=D9 Old Comment=SM712 New Comment=SMAJ6.5CA
Change Component Comment : Designator=U8 Old Comment=SP485EEN-L/TR New Comment=MAX485ESA
Change Component Designator: OldDesignator=3V3 NewDesignator=1
Change Component Designator: OldDesignator=C2 NewDesignator=C1
Change Component Designator: OldDesignator=C3 NewDesignator=C2
Change Component Designator: OldDesignator=C4 NewDesignator=C3
Change Component Designator: OldDesignator=C5 NewDesignator=C4
Change Component Designator: OldDesignator=C6 NewDesignator=C5
Change Component Designator: OldDesignator=C7 NewDesignator=C6
Change Component Designator: OldDesignator=C9 NewDesignator=C7
Change Component Designator: OldDesignator=C10 NewDesignator=C8
Change Component Designator: OldDesignator=C11 NewDesignator=C9
Change Component Designator: OldDesignator=C12 NewDesignator=C10
Change Component Designator: OldDesignator=C13 NewDesignator=C11
Change Component Designator: OldDesignator=C14 NewDesignator=C12
Change Component Designator: OldDesignator=C15 NewDesignator=C13
Change Component Designator: OldDesignator=C16 NewDesignator=C14
Change Component Designator: OldDesignator=C17 NewDesignator=C15
Change Component Designator: OldDesignator=C18 NewDesignator=C16
Change Component Designator: OldDesignator=C19 NewDesignator=C17
Change Component Designator: OldDesignator=C20 NewDesignator=C18
Change Component Designator: OldDesignator=C22 NewDesignator=C21
Change Component Designator: OldDesignator=C23 NewDesignator=C22
Change Component Designator: OldDesignator=C24 NewDesignator=C23
Change Component Designator: OldDesignator=C27 NewDesignator=C24
Change Component Designator: OldDesignator=C28 NewDesignator=C25
Change Component Designator: OldDesignator=C29 NewDesignator=C26
Change Component Designator: OldDesignator=C30 NewDesignator=C27
Change Component Designator: OldDesignator=C31 NewDesignator=C28
Change Component Designator: OldDesignator=C32 NewDesignator=C29
Change Component Designator: OldDesignator=C33 NewDesignator=C30
Change Component Designator: OldDesignator=C34 NewDesignator=C31
Change Component Designator: OldDesignator=C35 NewDesignator=C32
Change Component Designator: OldDesignator=C36 NewDesignator=C33
Change Component Designator: OldDesignator=C37 NewDesignator=C34
Change Component Designator: OldDesignator=C38 NewDesignator=C35
Change Component Designator: OldDesignator=C39 NewDesignator=C36
Change Component Designator: OldDesignator=C40 NewDesignator=C37
Change Component Designator: OldDesignator=C41 NewDesignator=C38
Change Component Designator: OldDesignator=C42 NewDesignator=C39
Change Component Designator: OldDesignator=C43 NewDesignator=C40
Change Component Designator: OldDesignator=D8 NewDesignator=D11
Change Component Designator: OldDesignator=D10 NewDesignator=D15
Change Component Designator: OldDesignator=F2 NewDesignator=F4
Change Component Designator: OldDesignator=P9 NewDesignator=P10
Change Component Designator: OldDesignator=R3 NewDesignator=R2
Change Component Designator: OldDesignator=R4 NewDesignator=R3
Change Component Designator: OldDesignator=R5 NewDesignator=R4
Change Component Designator: OldDesignator=R6 NewDesignator=R5
Change Component Designator: OldDesignator=R7 NewDesignator=R6
Change Component Designator: OldDesignator=R8 NewDesignator=R7
Change Component Designator: OldDesignator=R9 NewDesignator=R8
Change Component Designator: OldDesignator=R10 NewDesignator=R9
Change Component Designator: OldDesignator=R11 NewDesignator=R10
Change Component Designator: OldDesignator=R13 NewDesignator=R11
Change Component Designator: OldDesignator=R14 NewDesignator=R12
Change Component Designator: OldDesignator=R15 NewDesignator=R13
Change Component Designator: OldDesignator=R16 NewDesignator=R14
Change Component Designator: OldDesignator=R17 NewDesignator=R15
Change Component Designator: OldDesignator=R18 NewDesignator=R16
Change Component Designator: OldDesignator=R19 NewDesignator=R17
Change Component Designator: OldDesignator=R20 NewDesignator=R18
Change Component Designator: OldDesignator=R21 NewDesignator=R19
Change Component Designator: OldDesignator=R22 NewDesignator=R20
Change Component Designator: OldDesignator=R23 NewDesignator=R21
Change Component Designator: OldDesignator=R24 NewDesignator=R22
Change Component Designator: OldDesignator=R25 NewDesignator=R23
Change Component Designator: OldDesignator=R26 NewDesignator=R24
Change Component Designator: OldDesignator=R27 NewDesignator=R25
